"Presentation","Is select","%","Amount"
"Special Offers, Max by row","","",""
"Maximum, Max by row","","",""
"Discount Price 1","☐","",""
"Can not use. Wrong Agreement","☐","",""
"Special Message Notification","✔","",""
"Can not use. Wrong Agreement","☐","",""
"Discount Price 2","☐","",""
"Can not use. Wrong Agreement","☐","",""
"Discount 2 without Vat","✔","",""
"Discount on Basic Partner terms without Vat","✔","",""
"All items 5+1, Discount on Basic Partner terms","☐","",""
"All items 5+1, Discount on Basic Partner terms","☐","",""
"4+1 Dress and Trousers, Discount on Basic Partner terms","☐","",""
"Dress and Trousers 4+1, Discount on Basic Partner terms","☐","",""
"3+1 Dress and Trousers (not multiplicity), Discount on Basic Partner terms","☐","",""
"Dress and Trousers 3+1, Discount on Basic Partner terms","☐","",""
"Min, Min","","",""
"Special Message DialogBox","✔","",""
"Discount on Basic Partner terms without Vat","✔","",""
"Discount 1 without Vat","✔","",""
"Discount on Basic Partner terms without Vat","✔","",""
"Document discount","☐","",""
